Country,Year,population
Switzerland,1800,1826051
Syria,1800,1337e3
Taiwan,1800,NA
Tajikistan,1800,466629
Tanzania,1800,3019768
Thailand,1800,4665e3
Timor-Leste,1800,137262
Togo,1800,445985
Tokelau,1800,1009
Tonga,1800,18658
Transnistria,1800,NA
Trinidad and Tobago,1800,6e4
Tunisia,1800,862029
Turkey,1800,9773456
Turkmenistan,1800,367215
Turks and Caicos Islands,1800,3296
Tuvalu,1800,2499
Uganda,1800,2101397
Ukraine,1800,11215490
United Arab Emirates,1800,40153
United Kingdom,1800,12327466
United States,1800,6801854
Uruguay,1800,55e3
USSR,1800,NA
Uzbekistan,1800,1919159
Wallis et Futuna,1800,3721
Vanuatu,1800,27791
Venezuela,1800,718e3
West Bank and Gaza,1800,165944
West Germany,1800,NA
Western Sahara,1800,2788
Vietnam,1800,6551e3
Virgin Islands (U.S.),1800,4e4
North Yemen (former),1800,NA
South Yemen (former),1800,NA
Yemen,1800,2593e3
Yugoslavia,1800,NA
Zambia,1800,747e3
Zimbabwe,1800,1085814
Åland,1800,NA
South Sudan,1800,1027378
Curaçao,1800,NA
Sint Maarten (Dutch part),1800,NA
St. Martin (French part),1800,NA
Antarctica,1800,NA
Bouvet Island,1800,NA
British Indian Ocean Territory,1800,NA
Clipperton,1800,NA
French Southern and Antarctic Lands,1800,NA
Gaza Strip,1800,NA
Heard and McDonald Islands,1800,NA
Northern Marianas,1800,NA
South Georgia and the South Sandwich Islands,1800,NA
US Minor Outlying Islands,1800,NA
Virgin Islands,1800,NA
West Bank,1800,NA
Abkhazia,1810,NA
Afghanistan,1810,328e4
Akrotiri and Dhekelia,1810,NA
Albania,1810,423591
Algeria,1810,2595056
American Samoa,1810,8156
Andorra,1810,2654
Angola,1810,1567028
Anguilla,1810,2025
Antigua and Barbuda,1810,37e3
Argentina,1810,534e3
Armenia,1810,413326
Aruba,1810,19286
Australia,1810,342440
Austria,1810,3286650
Azerbaijan,1810,879960
Bahamas,1810,27350
Bahrain,1810,64474
Bangladesh,1810,19611269
Barbados,1810,81729
Belarus,1810,2355081
Belgium,1810,3283959
Belize,1810,25526
Benin,1810,636559
Bermuda,1810,9831
Bhutan,1810,89989
Bolivia,1810,11e5
Bosnia and Herzegovina,1810,851806
Botswana,1810,121e3
Brazil,1810,4058652
British Virgin Islands,1810,6700
Brunei,1810,2128
Bulgaria,1810,2088223
Burkina Faso,1810,1665421
Burundi,1810,899097
Cambodia,1810,209e4
Cameroon,1810,1860054
Canada,1810,727603
Cape Verde,1810,55716
Cayman Islands,1810,2439
Central African Republic,1810,479444
Chad,1810,1432e3
Channel Islands,1810,43908
Chile,1810,771447
China,1810,350542958
Christmas Island,1810,NA
Cocos Island,1810,NA
Colombia,1810,1206e3
Comoros,1810,56346
"Congo, Dem. Rep.",1810,5163819
"Congo, Rep.",1810,314465
Cook Is,1810,16333
Costa Rica,1810,57584
Cote d'Ivoire,1810,1088530
Croatia,1810,1227886
Cuba,1810,470176
Cyprus,1810,184590
Czech Republic,1810,5516349
Czechoslovakia,1810,NA
Denmark,1810,1108146
Djibouti,1810,22848
Dominica,1810,19950
Dominican Republic,1810,89e3
East Germany,1810,NA
Ecuador,1810,5e5
Egypt,1810,4218711
El Salvador,1810,248e3
Equatorial Guinea,1810,80377
Eritrea,1810,205010
Eritrea and Ethiopia,1810,NA
Estonia,1810,334136
Ethiopia,1810,2948990
Faeroe Islands,1810,13537
Falkland Is (Malvinas),1810,100
Fiji,1810,132682
Finland,1810,1070625
France,1810,30293172
French Guiana,1810,9899
French Polynesia,1810,63322
Gabon,1810,158227
Gambia,1810,103274
Georgia,1810,1072178
Germany,1810,23882461
Ghana,1810,2016034
Gibraltar,1810,9873
Greece,1810,2230659
Greenland,1810,9584
Grenada,1810,29409
Guadeloupe,1810,80726
Guam,1810,8736
Guatemala,1810,524190
Guernsey,1810,NA
Guinea,1810,983959
Guinea-Bissau,1810,218167
Guyana,1810,166034
Haiti,1810,723e3
Holy See,1810,905
Honduras,1810,132182
"Hong Kong, China",1810,2e4
Hungary,1810,3814221
Iceland,1810,61428
India,1810,171940819
Indonesia,1810,16537268
Iran,1810,6413820
Iraq,1810,1084941
Ireland,1810,4541676
Isle of Man,1810,23533
Israel,1810,209954
Italy,1810,19491674
Jamaica,1810,401e3
Japan,1810,30645903
Jersey,1810,NA
Jordan,1810,217e3
Kazakhstan,1810,2041282
Kenya,1810,2574e3
Kiribati,1810,17876
North Korea,1810,4345e3
South Korea,1810,9395e3
United Korea (former),1810,NA
Kosovo,1810,NA
Kuwait,1810,81280
Kyrgyz Republic,1810,530343
Lao,1810,47e4
Latvia,1810,590588
Lebanon,1810,332e3
Lesotho,1810,276361
Liberia,1810,313543
Libya,1810,534730
Liechtenstein,1810,5802
Lithuania,1810,778655
Luxembourg,1810,127030
"Macao, China",1810,21325
"Macedonia, FYR",1810,391865
Madagascar,1810,1612106
Malawi,1810,737e3
Malaysia,1810,287e3
Maldives,1810,42378
Mali,1810,1403398
Malta,1810,134072
Marshall Islands,1810,5828
Martinique,1810,84039
Mauritania,1810,382696
Mauritius,1810,78310
Mayotte,1810,8219
Mexico,1810,6382317
"Micronesia, Fed. Sts.",1810,16416
Moldova,1810,712558
Monaco,1810,7789
Mongolia,1810,619e3
Montenegro,1810,126582
Montserrat,1810,5230
Morocco,1810,2595056
Mozambique,1810,2038660
Myanmar,1810,3506e3
Namibia,1810,229e3
Nauru,1810,1834
Nepal,1810,3881e3
Netherlands,1810,2293548
Netherlands Antilles,1810,NA
New Caledonia,1810,29432
New Zealand,1810,1e5
Ngorno-Karabakh,1810,NA
Nicaragua,1810,219387
Niger,1810,1244861
Nigeria,1810,12100855
Niue,1810,4529
Norfolk Island,1810,NA
Northern Cyprus,1810,NA
Northern Mariana Islands,1810,3360
Norway,1810,918398
Oman,1810,318e3
Pakistan,1810,13385672
Palau,1810,3875
Panama,1810,78842
Papua New Guinea,1810,754894
