artist,title,Artist,n,URI,spotifyID,tempo
Angel+Olsen,Give+It+Up,Angel Olsen,19,https://api.spotify.com/v1/audio-features/35UhjpbWJl9VAKhQM9K7FM,35UhjpbWJl9VAKhQM9K7FM,121.191
Badbadnotgood,Time+Moves+Slow+feat++Samuel+T++Herring,Badbadnotgood,19,https://api.spotify.com/v1/audio-features/1IqF5PUDUnaykHLs0RWbDO,1IqF5PUDUnaykHLs0RWbDO,140.026
Beastie+Boys,Intergalactic,Beastie Boys,19,https://api.spotify.com/v1/audio-features/5fpizYGbi5IQoEraj6FP0R,5fpizYGbi5IQoEraj6FP0R,105.932
Bjork,Big+Time+Sensuality,Bjork,19,https://api.spotify.com/v1/audio-features/4mGJcOKQhmISIWgQ3xCiLB,4mGJcOKQhmISIWgQ3xCiLB,122.014
Blondie,Heart+Of+Glass,Blondie,19,https://api.spotify.com/v1/audio-features/4v2rkl1mC3zVAz0nXMx9r4,4v2rkl1mC3zVAz0nXMx9r4,114.82
Cage+The+Elephant,Mess+Around,Cage The Elephant,19,https://api.spotify.com/v1/audio-features/7DJsL4jyXA39GDiHFQYQ0t,7DJsL4jyXA39GDiHFQYQ0t,148.808
Charlie+Parr,Dog,Charlie Parr,19,https://api.spotify.com/v1/audio-features/1zTD6Z2T4Pks6P0urU5RVK,1zTD6Z2T4Pks6P0urU5RVK,100.644
Chastity+Brown,Drive+Slow,Chastity Brown,19,https://api.spotify.com/v1/audio-features/5iHO0dAm9FmDA017mWdFkB,5iHO0dAm9FmDA017mWdFkB,88.089
Devo,Uncontrollable+Urge,Devo,19,https://api.spotify.com/v1/audio-features/1PPSMhbFykf7h0ZKkwKnfR,1PPSMhbFykf7h0ZKkwKnfR,177.03
Drive+By+Truckers,Surrender+Under+Protest,Drive-By Truckers,19,https://api.spotify.com/v1/audio-features/0cg3fUhXnhKSxBIfaprbIR,0cg3fUhXnhKSxBIfaprbIR,82.033
Elastica,Connection,Elastica,19,https://api.spotify.com/v1/audio-features/53LZqMzQEnjBkFXPqOq0cD,53LZqMzQEnjBkFXPqOq0cD,121.342
Fatboy+Slim,Praise+You,Fatboy Slim,19,https://api.spotify.com/v1/audio-features/21RDsw7wzUJNl2FbWTgEfJ,21RDsw7wzUJNl2FbWTgEfJ,109.728
Fiona+Apple,Fast+As+You+Can,Fiona Apple,19,https://api.spotify.com/v1/audio-features/1UmmSKPdCtBuJsmbZG9G3u,1UmmSKPdCtBuJsmbZG9G3u,138.002
Florence+And+The+Machine,Ship+To+Wreck,Florence And The Machine,19,https://api.spotify.com/v1/audio-features/20NEld0MhrR4Zpgrf9brq8,20NEld0MhrR4Zpgrf9brq8,141.991
Foxygen,Follow+The+Leader,Foxygen,19,https://api.spotify.com/v1/audio-features/5hCM5P0D9kmvC0UaLLA0rP,5hCM5P0D9kmvC0UaLLA0rP,115.284
Frank+Turner,Glorious+You,Frank Turner,19,https://api.spotify.com/v1/audio-features/7JzMrH0oKO9OYc4OWtThbU,7JzMrH0oKO9OYc4OWtThbU,133.689
Garbage,Only+Happy+When+It+Rains,Garbage,19,https://api.spotify.com/v1/audio-features/1IsGA5ceSC4a5nxgAEYnQd,1IsGA5ceSC4a5nxgAEYnQd,121.459
Garbage,Queer,Garbage,19,https://api.spotify.com/v1/audio-features/3Huutm0fMOv8gJlARLGENG,3Huutm0fMOv8gJlARLGENG,95.048
Gorillaz,Humility+feat++George+Benson,Gorillaz,19,https://api.spotify.com/v1/audio-features/3NeiYiBn3rQBgurfVk92Zm,3NeiYiBn3rQBgurfVk92Zm,160.174
Grimes,We+Appreciate+Power+feat++HANA,Grimes,19,https://api.spotify.com/v1/audio-features/5Oo8o8aw6xMnvcB5Uo47sy,5Oo8o8aw6xMnvcB5Uo47sy,108.02
Hot+Snakes,Six+Wave+Hold+Down,Hot Snakes,19,https://api.spotify.com/v1/audio-features/4rPwYXHbHfxqkkgYaJIkWQ,4rPwYXHbHfxqkkgYaJIkWQ,139.747
Joy+Division,Love+Will+Tear+Us+Apart,Joy Division,19,https://api.spotify.com/v1/audio-features/34iOH7LY3vme5rQxsVILZ4,34iOH7LY3vme5rQxsVILZ4,146.924
Khruangbin,Friday+Morning,Khruangbin,19,https://api.spotify.com/v1/audio-features/6yIbpipzS4iFsqOMkKYv4W,6yIbpipzS4iFsqOMkKYv4W,112.756
LCD+Soundsystem,Call+The+Police,LCD Soundsystem,19,https://api.spotify.com/v1/audio-features/51vOZQuGnqPXfU5VbTZqZb,51vOZQuGnqPXfU5VbTZqZb,151.011
M83,Go+,M83,19,https://api.spotify.com/v1/audio-features/0aGA1zFV0ER1xLiJmHxb2s,0aGA1zFV0ER1xLiJmHxb2s,0
Michael+Kiwanuka,Love+And+Hate,Michael Kiwanuka,19,https://api.spotify.com/v1/audio-features/7oOEFDLSQscl0uGulnIEmG,7oOEFDLSQscl0uGulnIEmG,169.661
Natalie+Prass,Short+Court+Style,Natalie Prass,19,https://api.spotify.com/v1/audio-features/6wYBPGIIxm6veUhJQ7MMIE,6wYBPGIIxm6veUhJQ7MMIE,93.049
Nathaniel+Rateliff+And+The+Night+Sweats,Howling+At+Nothing,Nathaniel Rateliff And The Night Sweats,19,https://api.spotify.com/v1/audio-features/2YhAqgvjzU2Rw44rAqzGl6,2YhAqgvjzU2Rw44rAqzGl6,99.843
Nine+Inch+Nails,Down+In+It,Nine Inch Nails,19,https://api.spotify.com/v1/audio-features/06UVb2bREPv8hvioVkaMvC,06UVb2bREPv8hvioVkaMvC,103.993
Phantom+Planet,Balisong,Phantom Planet,19,https://api.spotify.com/v1/audio-features/3xZc5M0Sf7nzwqOeF0eUEU,3xZc5M0Sf7nzwqOeF0eUEU,145.942
Pixies,Gigantic,Pixies,19,https://api.spotify.com/v1/audio-features/5G2g1EbEtFSMkMbAnhl7FV,5G2g1EbEtFSMkMbAnhl7FV,115.197
Pixies,Here+Comes+Your+Man,Pixies,19,https://api.spotify.com/v1/audio-features/4IvZLDtwBHmBmwgDIUbuwa,4IvZLDtwBHmBmwgDIUbuwa,124.594
