artist,title,Artist,n,URI,spotifyID
Al+Green,Driving+Wheel,Al Green,8,https://api.spotify.com/v1/search?q=%2520track%3ADriving+Wheel%2520artist%3AAl+Green%2520&type=track,63xdwScd1Ai1GigAwQxE8y
Al+Green,Here+I+Am+Come+And+Take+Me,Al Green,7,https://api.spotify.com/v1/search?q=%2520track%3AHere+I+Am+Come+And+Take+Me%2520artist%3AAl+Green%2520&type=track,20wu6USlvWRghMOvUdfLgE
Al+Green,Let+s+Stay+Together,Al Green,9,https://api.spotify.com/v1/search?q=%2520track%3ALet+s+Stay+Together%2520artist%3AAl+Green%2520&type=track,63xdwScd1Ai1GigAwQxE8y
Al+Green,Love+And+Happiness,Al Green,7,https://api.spotify.com/v1/search?q=%2520track%3ALove+And+Happiness%2520artist%3AAl+Green%2520&type=track,6SMHgPgNkhe9lneNTbgtel
Al+Green,Take+Me+To+The+River,Al Green,6,https://api.spotify.com/v1/search?q=%2520track%3ATake+Me+To+The+River%2520artist%3AAl+Green%2520&type=track,62r1CS9zL1FL5Ilb7hLX7n
Al+Green,Tired+Of+Being+Alone,Al Green,8,https://api.spotify.com/v1/search?q=%2520track%3ATired+Of+Being+Alone%2520artist%3AAl+Green%2520&type=track,10vkYRKw6Jjr7try1ir50G
Alabama+Shakes,Be+Mine,Alabama Shakes,14,https://api.spotify.com/v1/search?q=%2520track%3ABe+Mine%2520artist%3AAlabama+Shakes%2520&type=track,6OXj4cEa6vAAs0jsJVFHxS
Alabama+Shakes,Don+t+Wanna+Fight,Alabama Shakes,26,https://api.spotify.com/v1/search?q=%2520track%3ADon+t+Wanna+Fight%2520artist%3AAlabama+Shakes%2520&type=track,6q0lIjDSuZDhrg9GC9yUQO
Alabama+Shakes,Future+People,Alabama Shakes,19,https://api.spotify.com/v1/search?q=%2520track%3AFuture+People%2520artist%3AAlabama+Shakes%2520&type=track,2g2iRWlBoOVvvW0a8pbhRK
Alabama+Shakes,Gimme+All+Your+Love,Alabama Shakes,19,https://api.spotify.com/v1/search?q=%2520track%3AGimme+All+Your+Love%2520artist%3AAlabama+Shakes%2520&type=track,5qGavrnGfH766WNp5pZXS2
Alabama+Shakes,Hang+Loose,Alabama Shakes,17,https://api.spotify.com/v1/search?q=%2520track%3AHang+Loose%2520artist%3AAlabama+Shakes%2520&type=track,6vu33bAEUG3U0d0CGxQJGl
Alabama+Shakes,Hold+On,Alabama Shakes,15,https://api.spotify.com/v1/search?q=%2520track%3AHold+On%2520artist%3AAlabama+Shakes%2520&type=track,436bx0eHJS5DPgIyfsDU31
Alabama+Shakes,I+Ain+t+The+Same,Alabama Shakes,11,https://api.spotify.com/v1/search?q=%2520track%3AI+Ain+t+The+Same%2520artist%3AAlabama+Shakes%2520&type=track,3NZdB4XxTQYZgRdrZRm60h
Alabama+Shakes,I+Found+You,Alabama Shakes,14,https://api.spotify.com/v1/search?q=%2520track%3AI+Found+You%2520artist%3AAlabama+Shakes%2520&type=track,2v1L7Mf7mhgBzpAEcGSdfL
Alabama+Shakes,Sound+And+Color,Alabama Shakes,27,https://api.spotify.com/v1/search?q=%2520track%3ASound+And+Color%2520artist%3AAlabama+Shakes%2520&type=track,7tHxwM0lDw0FwlCT4VAggT
Alanis+Morissette,Reasons+I+Drink,Alanis Morissette,24,https://api.spotify.com/v1/search?q=%2520track%3AReasons+I+Drink%2520artist%3AAlanis+Morissette%2520&type=track,3YizZrPzNxTpH3OSJASvB7
Alanis+Morissette,You+Oughta+Know,Alanis Morissette,7,https://api.spotify.com/v1/search?q=%2520track%3AYou+Oughta+Know%2520artist%3AAlanis+Morissette%2520&type=track,3jS7bB0oXVOwGFZn3aE5NV
Albert+King,Born+Under+A+Bad+Sign,Albert King,6,https://api.spotify.com/v1/search?q=%2520track%3ABorn+Under+A+Bad+Sign%2520artist%3AAlbert+King%2520&type=track,3ocm1Cf1Dk1ODrdBdybh82
Aldous+Harding,Fixture+Picture,Aldous Harding,6,https://api.spotify.com/v1/search?q=%2520track%3AFixture+Picture%2520artist%3AAldous+Harding%2520&type=track,4YQe4UrNJ0AzFKA6BNQo0c
Aldous+Harding,The+Barrel,Aldous Harding,162,https://api.spotify.com/v1/search?q=%2520track%3AThe+Barrel%2520artist%3AAldous+Harding%2520&type=track,06lw2dBFqdXhAErz7Xz9Zs
Alex+Lahey,Don+t+Be+So+Hard+On+Yourself,Alex Lahey,157,https://api.spotify.com/v1/search?q=%2520track%3ADon+t+Be+So+Hard+On+Yourself%2520artist%3AAlex+Lahey%2520&type=track,7E7WYvcuQpz7iHoCxF9Ypd
Alex+Lahey,Every+Day+s+The+Weekend,Alex Lahey,24,https://api.spotify.com/v1/search?q=%2520track%3AEvery+Day+s+The+Weekend%2520artist%3AAlex+Lahey%2520&type=track,19IEoiE1qTV8zzIiQghkX1
Alex+Lahey,Wes+Anderson,Alex Lahey,22,https://api.spotify.com/v1/search?q=%2520track%3AWes+Anderson%2520artist%3AAlex+Lahey%2520&type=track,1Nlk3KvJVeqakRGI0pdbXS
Alice+Merton,Funny+Business,Alice Merton,199,https://api.spotify.com/v1/search?q=%2520track%3AFunny+Business%2520artist%3AAlice+Merton%2520&type=track,50B1PVWbakumorzP54YvK2
Alice+Merton,Lash+Out,Alice Merton,123,https://api.spotify.com/v1/search?q=%2520track%3ALash+Out%2520artist%3AAlice+Merton%2520&type=track,0h4IpWawLSTLTwd2zDeftz
Alice+Merton,No+Roots,Alice Merton,69,https://api.spotify.com/v1/search?q=%2520track%3ANo+Roots%2520artist%3AAlice+Merton%2520&type=track,4CdfFYzaAJ0y0beKzmgJSn
Alice+Merton,Why+So+Serious,Alice Merton,63,https://api.spotify.com/v1/search?q=%2520track%3AWhy+So+Serious%2520artist%3AAlice+Merton%2520&type=track,6v48qTk0yzWneiNCS4T8co
Allah+Las,Polar+Onion,Allah-Las,8,https://api.spotify.com/v1/search?q=%2520track%3APolar+Onion%2520artist%3AAllah+Las%2520&type=track,5wlGUzHGNIMp6b6oB9o0Fe
Alt+J,3WW,Alt-J,26,https://api.spotify.com/v1/search?q=%2520track%3A3WW%2520artist%3AAlt+J%2520&type=track,0pCTr2E9CtulIwNprituKi
Alt+J,Deadcrush,Alt-J,6,https://api.spotify.com/v1/search?q=%2520track%3ADeadcrush%2520artist%3AAlt+J%2520&type=track,7gn0MfkV4ZuMkqbPlmhIlx
Alt+J,Every+Other+Freckle,Alt-J,12,https://api.spotify.com/v1/search?q=%2520track%3AEvery+Other+Freckle%2520artist%3AAlt+J%2520&type=track,6BVBkKpZK09NmifUMZqj1z
Alt+J,In+Cold+Blood,Alt-J,23,https://api.spotify.com/v1/search?q=%2520track%3AIn+Cold+Blood%2520artist%3AAlt+J%2520&type=track,0jeJR3LdrC2QJNviq7wjzp
Alt+J,Left+Hand+Free,Alt-J,20,https://api.spotify.com/v1/search?q=%2520track%3ALeft+Hand+Free%2520artist%3AAlt+J%2520&type=track,4iEOVEULZRvmzYSZY2ViKN
Altin+Gu���n,Leyla,Altin Gu���n,62,https://api.spotify.com/v1/search?q=%2520track%3ALeyla%2520artist%3AAltin+Gu���n%2520&type=track,69Sr73iQwa0KaSsbDBLBEZ
Alvvays,Archie++Marry+Me,Alvvays,13,https://api.spotify.com/v1/search?q=%2520track%3AArchie++Marry+Me%2520artist%3AAlvvays%2520&type=track,0KVWVuutF9Dn8li4HdyAeU
Alvvays,Dreams+Tonite,Alvvays,20,https://api.spotify.com/v1/search?q=%2520track%3ADreams+Tonite%2520artist%3AAlvvays%2520&type=track,6TcxxINfeaBEQ35sHMldTD
Alvvays,In+Undertow,Alvvays,22,https://api.spotify.com/v1/search?q=%2520track%3AIn+Undertow%2520artist%3AAlvvays%2520&type=track,6Px7VvXLTjMP6J2nTQ6bIh
Alvvays,Plimsoll+Punks,Alvvays,35,https://api.spotify.com/v1/search?q=%2520track%3APlimsoll+Punks%2520artist%3AAlvvays%2520&type=track,1MlU2xFOo4k1gFzIRYeQ0U
Amanda+Palmer,Death+Thing,Amanda Palmer,15,https://api.spotify.com/v1/search?q=%2520track%3ADeath+Thing%2520artist%3AAmanda+Palmer%2520&type=track,0GdiWLQt5VYtMEcero6AOW
Amanda+Palmer,Drowning+In+The+Sound,Amanda Palmer,150,https://api.spotify.com/v1/search?q=%2520track%3ADrowning+In+The+Sound%2520artist%3AAmanda+Palmer%2520&type=track,0PQ2c0czIO1jdQnNtGqYtu
Amanda+Palmer,Voicemail+For+Jill,Amanda Palmer,15,https://api.spotify.com/v1/search?q=%2520track%3AVoicemail+For+Jill%2520artist%3AAmanda+Palmer%2520&type=track,5vqj2z9sD4xHnw9cFEvhe5
Amanda+Shires,Leave+It+Alone,Amanda Shires,14,https://api.spotify.com/v1/search?q=%2520track%3ALeave+It+Alone%2520artist%3AAmanda+Shires%2520&type=track,4I58RPHVzDldHfK3t5HiZA
American+Football,Uncomfortably+Numb+feat++Hayley+Williams,American Football,6,https://api.spotify.com/v1/search?q=%2520track%3AUncomfortably+Numb+feat++Hayley+Williams%2520artist%3AAmerican+Football%2520&type=track,22bjxoF7OSitN3VbZUbtSx
Amy+Shark,Adore,Amy Shark,25,https://api.spotify.com/v1/search?q=%2520track%3AAdore%2520artist%3AAmy+Shark%2520&type=track,1rPCgtaIF0CyKRgAwhtpbF
Amy+Winehouse,Back+To+Black,Amy Winehouse,10,https://api.spotify.com/v1/search?q=%2520track%3ABack+To+Black%2520artist%3AAmy+Winehouse%2520&type=track,5lFDtgWsjRJu8fPOAyJIAK
Amy+Winehouse,Rehab,Amy Winehouse,15,https://api.spotify.com/v1/search?q=%2520track%3ARehab%2520artist%3AAmy+Winehouse%2520&type=track,3N4DI1vuTSX1tz7fa2NQZw
Amy+Winehouse,Wake+Up+Alone,Amy Winehouse,16,https://api.spotify.com/v1/search?q=%2520track%3AWake+Up+Alone%2520artist%3AAmy+Winehouse%2520&type=track,2pxCOdnHEZZ3A1XRNxjc1v
Amy+Winehouse,You+Know+I+m+No+Good,Amy Winehouse,18,https://api.spotify.com/v1/search?q=%2520track%3AYou+Know+I+m+No+Good%2520artist%3AAmy+Winehouse%2520&type=track,0DMRKqrpd0QO4RWiEdMib0
Amyl+And+The+Sniffers,Got+You,Amyl And The Sniffers,120,https://api.spotify.com/v1/search?q=%2520track%3AGot+You%2520artist%3AAmyl+And+The+Sniffers%2520&type=track,26EvVb7HxLt5fVXtNRzUEw
Anderson+East,All+On+My+Mind,Anderson East,6,https://api.spotify.com/v1/search?q=%2520track%3AAll+On+My+Mind%2520artist%3AAnderson+East%2520&type=track,5GRPAVCMwnUNvIOKzDYYSb
Anderson+East,Girlfriend,Anderson East,14,https://api.spotify.com/v1/search?q=%2520track%3AGirlfriend%2520artist%3AAnderson+East%2520&type=track,0CuXzMEgFzuQhLEYQHYas4
Anderson+Paak,Come+Home+feat++Andre+3000,Anderson Paak,13,https://api.spotify.com/v1/search?q=%2520track%3ACome+Home+feat++Andre+3000%2520artist%3AAnderson+Paak%2520&type=track,425opAPXAzFWtDqiebYQiM
Anderson+Paak,Jet+Black+feat++Brandy,Anderson Paak,15,https://api.spotify.com/v1/search?q=%2520track%3AJet+Black+feat++Brandy%2520artist%3AAnderson+Paak%2520&type=track,70pZIQqQ37SrNCADx0FiPN
Anderson+Paak,Make+It+Better+feat++Smokey+Robinson,Anderson Paak,195,https://api.spotify.com/v1/search?q=%2520track%3AMake+It+Better+feat++Smokey+Robinson%2520artist%3AAnderson+Paak%2520&type=track,4SBVWkRIMJ6WBCYPvr5Bwr
Anderson+Paak,Room+In+Here+feat++The+Game+And+Sonyae+Elise,Anderson Paak,19,https://api.spotify.com/v1/search?q=%2520track%3ARoom+In+Here+feat++The+Game+And+Sonyae+Elise%2520artist%3AAnderson+Paak%2520&type=track,6Lr9sGM6kARYVDL2dj0lqV
Anderson+Paak,Tints+feat++Kendrick+Lamar,Anderson Paak,56,https://api.spotify.com/v1/search?q=%2520track%3ATints+feat++Kendrick+Lamar%2520artist%3AAnderson+Paak%2520&type=track,7c3SbTuufigBWURcICnAWy
Andre+Cymone,We+All+Need+Somethin+,Andre Cymone,6,https://api.spotify.com/v1/search?q=%2520track%3AWe+All+Need+Somethin+%2520artist%3AAndre+Cymone%2520&type=track,62tKqnRQCf4qHAVHtGt3CY
Andrew+Bird,Bloodless,Andrew Bird,182,https://api.spotify.com/v1/search?q=%2520track%3ABloodless%2520artist%3AAndrew+Bird%2520&type=track,0lWLMR456FAFjlLIEBLzWf
Andrew+Bird,Imitosis,Andrew Bird,9,https://api.spotify.com/v1/search?q=%2520track%3AImitosis%2520artist%3AAndrew+Bird%2520&type=track,403vzOZN0tETDpvFipkNIL
Andrew+Bird,Manifest,Andrew Bird,54,https://api.spotify.com/v1/search?q=%2520track%3AManifest%2520artist%3AAndrew+Bird%2520&type=track,7oChm7YC5PS1NvEkRCgswG
Andrew+Bird,Sisyphus,Andrew Bird,173,https://api.spotify.com/v1/search?q=%2520track%3ASisyphus%2520artist%3AAndrew+Bird%2520&type=track,5fMZ4cDsfhxR7gnFdtrWCy
Andrew+Bird,Tenuousness,Andrew Bird,7,https://api.spotify.com/v1/search?q=%2520track%3ATenuousness%2520artist%3AAndrew+Bird%2520&type=track,50woGYhAqV3KXvO1LG4zLg
Andrew+W+K+,Party+Hard,Andrew W.K.,6,https://api.spotify.com/v1/search?q=%2520track%3AParty+Hard%2520artist%3AAndrew+W+K+%2520&type=track,0E0bZtTG39K95uRjqBo1Mx
Angel+Olsen,All+Mirrors,Angel Olsen,185,https://api.spotify.com/v1/search?q=%2520track%3AAll+Mirrors%2520artist%3AAngel+Olsen%2520&type=track,3HjyXmT0PyqVFGHR97VnKu
Angel+Olsen,Give+It+Up,Angel Olsen,19,https://api.spotify.com/v1/search?q=%2520track%3AGive+It+Up%2520artist%3AAngel+Olsen%2520&type=track,6YB6CK4Tsb0BgtxCEL9KlI
Angel+Olsen,Lark,Angel Olsen,13,https://api.spotify.com/v1/search?q=%2520track%3ALark%2520artist%3AAngel+Olsen%2520&type=track,26UV5orSPpt7s1eYTFkLv3
Angel+Olsen,Shut+Up+Kiss+Me,Angel Olsen,28,https://api.spotify.com/v1/search?q=%2520track%3AShut+Up+Kiss+Me%2520artist%3AAngel+Olsen%2520&type=track,3EEr6l5PYelwkrvvKX7N0X
Angel+Olsen,What+It+Is,Angel Olsen,79,https://api.spotify.com/v1/search?q=%2520track%3AWhat+It+Is%2520artist%3AAngel+Olsen%2520&type=track,3HjyXmT0PyqVFGHR97VnKu
Ani+DiFranco,32+Flavors,Ani DiFranco,6,https://api.spotify.com/v1/search?q=%2520track%3A32+Flavors%2520artist%3AAni+DiFranco%2520&type=track,1nUn5yFnGi9ZxVYv84KtdF
Ani+DiFranco,Not+A+Pretty+Girl,Ani DiFranco,7,https://api.spotify.com/v1/search?q=%2520track%3ANot+A+Pretty+Girl%2520artist%3AAni+DiFranco%2520&type=track,7g3P7uD8zcp7ASPD4irhf3
Animal+Collective,My+Girls,Animal Collective,17,https://api.spotify.com/v1/search?q=%2520track%3AMy+Girls%2520artist%3AAnimal+Collective%2520&type=track,2gE0khQ948RYQOeTgCUL2a
Animal+Collective,Summertime+Clothes,Animal Collective,17,https://api.spotify.com/v1/search?q=%2520track%3ASummertime+Clothes%2520artist%3AAnimal+Collective%2520&type=track,3eaJHhtNsKOumLQYU7bnas
Anna+Calvi,Don+t+Beat+The+Girl+Out+Of+My+Boy,Anna Calvi,22,https://api.spotify.com/v1/search?q=%2520track%3ADon+t+Beat+The+Girl+Out+Of+My+Boy%2520artist%3AAnna+Calvi%2520&type=track,4yfeWTtCyZc6xXI7mYiVbr
Annie+Mack,Fool+To+Believe,Annie Mack,28,https://api.spotify.com/v1/search?q=%2520track%3AFool+To+Believe%2520artist%3AAnnie+Mack%2520&type=track,3tGeRMijbY0okF2vAaebBO
Annie+Mack,I+Don+t+Like+You,Annie Mack,23,https://api.spotify.com/v1/search?q=%2520track%3AI+Don+t+Like+You%2520artist%3AAnnie+Mack%2520&type=track,1h6kgem1ai8vUgO1rZOwfB
