artist,title,Artist,n,"str_replace_all(artist, ""[[:punct:]]"", "" "")",URI,spotifyID,tempo
Beach%2520House,Myth,Beach House,435,Beach House,https://api.spotify.com/v1/audio-features/2NfxtzCIrpCmJX5Z2KMdD5,2NfxtzCIrpCmJX5Z2KMdD5,141.965
Tame%2520Impala,Elephant,Tame Impala,435,Tame Impala,https://api.spotify.com/v1/audio-features/6qZjm61s6u8Ead9sWxCDro,6qZjm61s6u8Ead9sWxCDro,123.075
The%2520Big%2520Pink,Dominos,The Big Pink,433,The Big Pink,https://api.spotify.com/v1/audio-features/7m97yKVzPpXV9Z4ezEziOD,7m97yKVzPpXV9Z4ezEziOD,138.083
Grizzly%2520Bear,Two%2520Weeks,Grizzly Bear,432,Grizzly Bear,https://api.spotify.com/v1/audio-features/04uR2cdkgiaLIzebPcs25m,04uR2cdkgiaLIzebPcs25m,159.685
The%2520XX,Crystalised,The XX,431,The XX,https://api.spotify.com/v1/audio-features/2BH3j05ZXWr5PR30sW079d,2BH3j05ZXWr5PR30sW079d,100.015
Muse,Madness,Muse,430,Muse,https://api.spotify.com/v1/audio-features/0c4IEciLCDdXEhhKxj4ThA,0c4IEciLCDdXEhhKxj4ThA,180.301
Dawes,When%2520My%2520Time%2520Comes,Dawes,428,Dawes,https://api.spotify.com/v1/audio-features/2bit43ZeiBbbiHUtyWuthM,2bit43ZeiBbbiHUtyWuthM,113.975
Hot%2520Chip,Night%2520And%2520Day,Hot Chip,428,Hot Chip,https://api.spotify.com/v1/audio-features/4V9Ue6TRdHECudrdPWqyss,4V9Ue6TRdHECudrdPWqyss,134.972
Metric,Breathing%2520Underwater,Metric,426,Metric,https://api.spotify.com/v1/audio-features/1KZjU7csKHOLRiRPBWZIJS,1KZjU7csKHOLRiRPBWZIJS,141.13
Modest%2520Mouse,Lampshades%2520On%2520Fire,Modest Mouse,426,Modest Mouse,https://api.spotify.com/v1/audio-features/5EsM3rVaMDRsOXJq7oe3tY,5EsM3rVaMDRsOXJq7oe3tY,176.156
The%2520Black%2520Keys,Lonely%2520Boy,The Black Keys,425,The Black Keys,https://api.spotify.com/v1/audio-features/5G1sTBGbZT5o4PNRc75RKI,5G1sTBGbZT5o4PNRc75RKI,166.3
BORNS,10%2520000%2520Emerald%2520Pools,BORNS,420,BORNS,https://api.spotify.com/v1/audio-features/2pA4ip3VIEVcIa3qE02oAX,2pA4ip3VIEVcIa3qE02oAX,139.951
Passion%2520Pit,Take%2520A%2520Walk,Passion Pit,420,Passion Pit,https://api.spotify.com/v1/audio-features/53SwD7cE56VxnhlEoAH7Qg,53SwD7cE56VxnhlEoAH7Qg,134.907
The%2520Black%2520Keys,Tighten%2520Up,The Black Keys,420,The Black Keys,https://api.spotify.com/v1/audio-features/2MVwrvjmcdt4MsYYLCYMt8,2MVwrvjmcdt4MsYYLCYMt8,108.965
Cloud%2520Cult,Running%2520With%2520The%2520Wolves,Cloud Cult,419,Cloud Cult,https://api.spotify.com/v1/audio-features/3KhF2YiNpJvGpfiCW45R6D,3KhF2YiNpJvGpfiCW45R6D,95.826
Broken%2520Social%2520Scene,Forced%2520To%2520Love,Broken Social Scene,417,Broken Social Scene,https://api.spotify.com/v1/audio-features/4euXJuErBCqH2LEApfxI6i,4euXJuErBCqH2LEApfxI6i,123.015
Alt-J,Fitzpleasure,Alt-J,416,Alt J,https://api.spotify.com/v1/audio-features/7DdXf9x75iEVCHWfoRwRuR,7DdXf9x75iEVCHWfoRwRuR,143.935
Dirty%2520Projectors,Stillness%2520Is%2520The%2520Move,Dirty Projectors,416,Dirty Projectors,https://api.spotify.com/v1/audio-features/4RFnGwv86SKEFebmA4V6gH,4RFnGwv86SKEFebmA4V6gH,71.357
The%2520Shins,Simple%2520Song,The Shins,416,The Shins,https://api.spotify.com/v1/audio-features/0NslHuacjxQYfUTOW3HCIV,0NslHuacjxQYfUTOW3HCIV,129.984
Vampire%2520Weekend,Diane%2520Young,Vampire Weekend,415,Vampire Weekend,https://api.spotify.com/v1/audio-features/10f0hrbCBiQk9STrFG3EU7,10f0hrbCBiQk9STrFG3EU7,87.076
