artist,title,Artist,n,"str_replace_all(artist, ""[[:punct:]]"", "" "")",URI,spotifyID,tempo
J.%2520Roddy%2520Walston%2520And%2520The%2520Business,Take%2520It%2520As%2520It%2520Comes,J. Roddy Walston And The Business,374,J  Roddy Walston And The Business,https://api.spotify.com/v1/audio-features/6f3Slt0GbA2bPZlz0aIFXN,6f3Slt0GbA2bPZlz0aIFXN,NA
LCD%2520Soundsystem,Call%2520The%2520Police,LCD Soundsystem,374,LCD Soundsystem,https://api.spotify.com/v1/audio-features/3c7W5q8eqI3hFzFZMSCw18,3c7W5q8eqI3hFzFZMSCw18,NA
Lissie,In%2520Sleep,Lissie,374,Lissie,https://api.spotify.com/v1/audio-features/7lcUx8bgiwGEn0BHNo3O31,7lcUx8bgiwGEn0BHNo3O31,NA
Mumford%2520And%2520Sons,White%2520Blank%2520Page,Mumford And Sons,374,Mumford And Sons,https://api.spotify.com/v1/audio-features/6oxnUh5HybZDk6VNGzvw2j,6oxnUh5HybZDk6VNGzvw2j,NA
Alt-J,Tessellate,Alt-J,373,Alt J,https://api.spotify.com/v1/audio-features/1o22EcqsCANhwYdaNOSdwS,1o22EcqsCANhwYdaNOSdwS,NA
James%2520Blake,Retrograde,James Blake,373,James Blake,https://api.spotify.com/v1/audio-features/2IqjKEBiz0CdLKdkXhxw84,2IqjKEBiz0CdLKdkXhxw84,NA
Cat%2520Power,Ruin,Cat Power,372,Cat Power,https://api.spotify.com/v1/audio-features/1n0iHqATRnMzoxsIGmzIoR,1n0iHqATRnMzoxsIGmzIoR,NA
Fitz%2520And%2520The%2520Tantrums,Don%2520t%2520Gotta%2520Work%2520It%2520Out,Fitz And The Tantrums,372,Fitz And The Tantrums,https://api.spotify.com/v1/audio-features/2AYEOC02WLhUiOoaig2SEH,2AYEOC02WLhUiOoaig2SEH,NA
Lykke%2520Li,I%2520Follow%2520Rivers,Lykke Li,372,Lykke Li,https://api.spotify.com/v1/audio-features/4Jv7lweGIUOFQ7Oq2AtAh9,4Jv7lweGIUOFQ7Oq2AtAh9,NA
Passion%2520Pit,The%2520Reeling,Passion Pit,372,Passion Pit,https://api.spotify.com/v1/audio-features/5noQJkpVfHt2D4df2GXieV,5noQJkpVfHt2D4df2GXieV,NA
Hippo%2520Campus,Boyish,Hippo Campus,371,Hippo Campus,https://api.spotify.com/v1/audio-features/4nAmlRetwMEZr2TsXuHcpD,4nAmlRetwMEZr2TsXuHcpD,NA
Margaret%2520Glaspy,Emotions%2520And%2520Math,Margaret Glaspy,371,Margaret Glaspy,https://api.spotify.com/v1/audio-features/1uVD7mxRrnwnLqh6uBOuSt,1uVD7mxRrnwnLqh6uBOuSt,NA
Divine%2520Fits,Would%2520That%2520Not%2520Be%2520Nice,Divine Fits,370,Divine Fits,https://api.spotify.com/v1/audio-features/3URBrUM7Kb8bnaxqAO0s1A,3URBrUM7Kb8bnaxqAO0s1A,117.52
Howler,Back%2520Of%2520Your%2520Neck,Howler,370,Howler,https://api.spotify.com/v1/audio-features/6KvF7iueP2GDA6AuQlt24w,6KvF7iueP2GDA6AuQlt24w,150.082
Eels,Prizefighter,Eels,369,Eels,https://api.spotify.com/v1/audio-features/7hjyiwffPoZ7jzM0ZIAjnC,7hjyiwffPoZ7jzM0ZIAjnC,129.91
Alabama%2520Shakes,Don%2520t%2520Wanna%2520Fight,Alabama Shakes,368,Alabama Shakes,https://api.spotify.com/v1/audio-features/436bx0eHJS5DPgIyfsDU31,436bx0eHJS5DPgIyfsDU31,88.311
Phoenix,Lisztomania,Phoenix,368,Phoenix,https://api.spotify.com/v1/audio-features/6ryPiYPDkITAhc0zEiGkyk,6ryPiYPDkITAhc0zEiGkyk,110.02
Sharon%2520Van%2520Etten,Serpents,Sharon Van Etten,368,Sharon Van Etten,https://api.spotify.com/v1/audio-features/2v05RhwIQx3zbN8O72Ff69,2v05RhwIQx3zbN8O72Ff69,122.522
Jenny%2520Lewis,Just%2520One%2520Of%2520The%2520Guys,Jenny Lewis,367,Jenny Lewis,https://api.spotify.com/v1/audio-features/5YdrHBh16li6d7U5mdTwUb,5YdrHBh16li6d7U5mdTwUb,135.883
Peter%2520Wolf%2520Crier,Crutch%2520And%2520Cane,Peter Wolf Crier,367,Peter Wolf Crier,https://api.spotify.com/v1/audio-features/2e7a09zhu7YI3cHRg5dbJv,2e7a09zhu7YI3cHRg5dbJv,78.252
Catfish%2520And%2520The%2520Bottlemen,Kathleen,Catfish And The Bottlemen,365,Catfish And The Bottlemen,https://api.spotify.com/v1/audio-features/1MHYAqWWdDRePmnqORynrq,1MHYAqWWdDRePmnqORynrq,137.93
Doomtree,Little%2520Mercy,Doomtree,365,Doomtree,https://api.spotify.com/v1/audio-features/4vCLjpV1DyNvnLXElxlNkO,4vCLjpV1DyNvnLXElxlNkO,143.944
The%2520Lemon%2520Twigs,These%2520Words,The Lemon Twigs,365,The Lemon Twigs,https://api.spotify.com/v1/audio-features/2spcFt2UoCNsEuxVa6lC30,2spcFt2UoCNsEuxVa6lC30,179.99
The%2520National,Terrible%2520Love,The National,365,The National,https://api.spotify.com/v1/audio-features/6pUAg3OgdO2kQ4lub9Tb5m,6pUAg3OgdO2kQ4lub9Tb5m,79.884
Chastity%2520Brown,Wake%2520Up,Chastity Brown,364,Chastity Brown,https://api.spotify.com/v1/audio-features/7EMGv3hF9J8j8mx5kxNOFt,7EMGv3hF9J8j8mx5kxNOFt,162.002
Phantogram,You%2520Don%2520t%2520Get%2520Me%2520High%2520Anymore,Phantogram,364,Phantogram,https://api.spotify.com/v1/audio-features/6BjNq8vu4Yc3dt7BA7xkQj,6BjNq8vu4Yc3dt7BA7xkQj,124.074
Belle%2520And%2520Sebastian,Write%2520About%2520Love,Belle And Sebastian,363,Belle And Sebastian,https://api.spotify.com/v1/audio-features/2PV8oZJo3K3bXENO7FRRtp,2PV8oZJo3K3bXENO7FRRtp,142.385
Dawes,Time%2520Spent%2520In%2520Los%2520Angeles,Dawes,363,Dawes,https://api.spotify.com/v1/audio-features/51Pb9mDnaerOCIgUBK521w,51Pb9mDnaerOCIgUBK521w,100.461
TV%2520On%2520The%2520Radio,Happy%2520Idiot,TV On The Radio,363,TV On The Radio,https://api.spotify.com/v1/audio-features/63mnZ0zF5fBwJzYg2pDo9e,63mnZ0zF5fBwJzYg2pDo9e,139.996
Courtney%2520Barnett,Avant%2520Gardener,Courtney Barnett,362,Courtney Barnett,https://api.spotify.com/v1/audio-features/3LueS3mbuB1yaJNN0Ale6U,3LueS3mbuB1yaJNN0Ale6U,115.277
Jeremy%2520Messersmith,A%2520Girl%2520%2520A%2520Boy%2520%2520And%2520A%2520Graveyard,Jeremy Messersmith,362,Jeremy Messersmith,https://api.spotify.com/v1/audio-features/2xDO6IqHG5k7NpCPgUTEhr,2xDO6IqHG5k7NpCPgUTEhr,89.283
Phantogram,Fall%2520In%2520Love,Phantogram,362,Phantogram,https://api.spotify.com/v1/audio-features/5imUTBF35uIoABlV9g9da2,5imUTBF35uIoABlV9g9da2,188.049
St.%2520Vincent,Digital%2520Witness,St. Vincent,362,St  Vincent,https://api.spotify.com/v1/audio-features/5L16tlSHNt93RiiRiCc8ya,5L16tlSHNt93RiiRiCc8ya,104.975
Beck,Dreams,Beck,361,Beck,https://api.spotify.com/v1/audio-features/14zhqtMI5xHrfCFCLhFcsn,14zhqtMI5xHrfCFCLhFcsn,113.999
Bon%2520Iver,Holocene,Bon Iver,361,Bon Iver,https://api.spotify.com/v1/audio-features/1H2Dq1kyLUWl0QW8CLzDZb,1H2Dq1kyLUWl0QW8CLzDZb,127.964
Hot%2520Chip,Huarache%2520Lights,Hot Chip,361,Hot Chip,https://api.spotify.com/v1/audio-features/24OUTJgZif1CA1nemnDgXn,24OUTJgZif1CA1nemnDgXn,113.507
Jake%2520Bugg,What%2520Doesn%2520t%2520Kill%2520You,Jake Bugg,361,Jake Bugg,https://api.spotify.com/v1/audio-features/79DO6dBi8936P6EShLB209,79DO6dBi8936P6EShLB209,116.051
Mayer%2520Hawthorne,Just%2520Ain%2520t%2520Gonna%2520Work%2520Out,Mayer Hawthorne,361,Mayer Hawthorne,https://api.spotify.com/v1/audio-features/3eFx554nKpVNe4otynSsK0,3eFx554nKpVNe4otynSsK0,83.948
The%2520Black%2520Keys,Gold%2520On%2520The%2520Ceiling,The Black Keys,361,The Black Keys,https://api.spotify.com/v1/audio-features/5lN1EH25gdiqT1SFALMAq1,5lN1EH25gdiqT1SFALMAq1,130.121
Jungle,The%2520Heat,Jungle,360,Jungle,https://api.spotify.com/v1/audio-features/6CAXRGPbYPeZY9G0hX3PsH,6CAXRGPbYPeZY9G0hX3PsH,110.025
Mac%2520DeMarco,Salad%2520Days,Mac DeMarco,359,Mac DeMarco,https://api.spotify.com/v1/audio-features/7EAMXbLcL0qXmciM5SwMh2,7EAMXbLcL0qXmciM5SwMh2,150.076
My%2520Morning%2520Jacket,Holdin%2520%2520On%2520To%2520Black%2520Metal,My Morning Jacket,359,My Morning Jacket,https://api.spotify.com/v1/audio-features/6S5VkcX3Gmqw8EJY6yFy64,6S5VkcX3Gmqw8EJY6yFy64,108.952
Royal%2520Blood,Figure%2520It%2520Out,Royal Blood,359,Royal Blood,https://api.spotify.com/v1/audio-features/6V0A3jkb9ntudO0kmcJ1xd,6V0A3jkb9ntudO0kmcJ1xd,108.016
Cults,Go%2520Outside,Cults,358,Cults,https://api.spotify.com/v1/audio-features/0V8jGgK39sLsj2yAHHPigU,0V8jGgK39sLsj2yAHHPigU,77.473
Fleet%2520Foxes,Montezuma,Fleet Foxes,358,Fleet Foxes,https://api.spotify.com/v1/audio-features/33OVLi2BHxEpZp2jVf86HN,33OVLi2BHxEpZp2jVf86HN,99.755
Muse,Uprising,Muse,357,Muse,https://api.spotify.com/v1/audio-features/4VqPOruhp5EdPBeR92t6lQ,4VqPOruhp5EdPBeR92t6lQ,128.019
Phosphorescent,Song%2520For%2520Zula,Phosphorescent,357,Phosphorescent,https://api.spotify.com/v1/audio-features/1SmzAbt4g7a1FfAIwovtwq,1SmzAbt4g7a1FfAIwovtwq,103.021
Trampled%2520By%2520Turtles,Midnight%2520On%2520The%2520Interstate,Trampled By Turtles,357,Trampled By Turtles,https://api.spotify.com/v1/audio-features/4SI6ia4b6L5J1n6k42WeHC,4SI6ia4b6L5J1n6k42WeHC,160.732
Wilco,I%2520Might,Wilco,357,Wilco,https://api.spotify.com/v1/audio-features/5ZSD1YPoTzDo9NzpuZrUjQ,5ZSD1YPoTzDo9NzpuZrUjQ,117.191
First%2520Aid%2520Kit,My%2520Silver%2520Lining,First Aid Kit,356,First Aid Kit,https://api.spotify.com/v1/audio-features/0i5QVxsK3IvEDbUjTA64Li,0i5QVxsK3IvEDbUjTA64Li,144.218
Lizzo,Good%2520As%2520Hell,Lizzo,356,Lizzo,https://api.spotify.com/v1/audio-features/6nBQFAIVFmAx2oZ8p6lUg6,6nBQFAIVFmAx2oZ8p6lUg6,107.019
Savages,Husbands,Savages,356,Savages,https://api.spotify.com/v1/audio-features/5yoJk1yR5QmwE8Zj2qatpK,5yoJk1yR5QmwE8Zj2qatpK,176.858
The%2520Black%2520Keys,Fever,The Black Keys,356,The Black Keys,https://api.spotify.com/v1/audio-features/5lN1EH25gdiqT1SFALMAq1,5lN1EH25gdiqT1SFALMAq1,130.121
The%2520Decemberists,Make%2520You%2520Better,The Decemberists,356,The Decemberists,https://api.spotify.com/v1/audio-features/3GDIZO71jiE1FEcHEJh3RH,3GDIZO71jiE1FEcHEJh3RH,78.315
The%2520Head%2520And%2520The%2520Heart,Shake,The Head And The Heart,356,The Head And The Heart,https://api.spotify.com/v1/audio-features/7CtViMh5EgoE8krmPPuOhi,7CtViMh5EgoE8krmPPuOhi,111.082
Cage%2520The%2520Elephant,Shake%2520Me%2520Down,Cage The Elephant,355,Cage The Elephant,https://api.spotify.com/v1/audio-features/1Hb1IJ9bBCa6wo3fRtexnJ,1Hb1IJ9bBCa6wo3fRtexnJ,105.111
Florence%2520And%2520The%2520Machine,Shake%2520It%2520Out,Florence And The Machine,355,Florence And The Machine,https://api.spotify.com/v1/audio-features/31ABtQJdfloNaGz7ZhXaN5,31ABtQJdfloNaGz7ZhXaN5,105.989
Florence%2520And%2520The%2520Machine,What%2520The%2520Water%2520Gave%2520Me,Florence And The Machine,355,Florence And The Machine,https://api.spotify.com/v1/audio-features/31ABtQJdfloNaGz7ZhXaN5,31ABtQJdfloNaGz7ZhXaN5,105.989
Silversun%2520Pickups,Substitution,Silversun Pickups,355,Silversun Pickups,https://api.spotify.com/v1/audio-features/1aDLUzCyYpRXgrjwUWzV2X,1aDLUzCyYpRXgrjwUWzV2X,127.397
Polica,Wandering%2520Star,Polica,354,Polica,https://api.spotify.com/v1/audio-features/3LQlwkkqXm8BQVV0Bdrxoj,3LQlwkkqXm8BQVV0Bdrxoj,95.026
Alt-J,Every%2520Other%2520Freckle,Alt-J,353,Alt J,https://api.spotify.com/v1/audio-features/6BVBkKpZK09NmifUMZqj1z,6BVBkKpZK09NmifUMZqj1z,143.915
Catfish%2520And%2520The%2520Bottlemen,Soundcheck,Catfish And The Bottlemen,353,Catfish And The Bottlemen,https://api.spotify.com/v1/audio-features/1MHYAqWWdDRePmnqORynrq,1MHYAqWWdDRePmnqORynrq,137.93
Metric,Gimme%2520Sympathy,Metric,353,Metric,https://api.spotify.com/v1/audio-features/5ptaFgbEZmXi2ONGq2LwOK,5ptaFgbEZmXi2ONGq2LwOK,126.01
Sleater-Kinney,Bury%2520Our%2520Friends,Sleater-Kinney,353,Sleater Kinney,https://api.spotify.com/v1/audio-features/2MycpboRozeeoFNqWGrnak,2MycpboRozeeoFNqWGrnak,120
St.%2520Vincent,Cruel,St. Vincent,353,St  Vincent,https://api.spotify.com/v1/audio-features/6FPw780c3azvSQXDuV5Z52,6FPw780c3azvSQXDuV5Z52,115.041
Cloud%2520Cult,1X1X1,Cloud Cult,352,Cloud Cult,https://api.spotify.com/v1/audio-features/0Mmtro18AX4ONE1I3mgNEh,0Mmtro18AX4ONE1I3mgNEh,95.979
Ray%2520LaMontagne,Supernova,Ray LaMontagne,352,Ray LaMontagne,https://api.spotify.com/v1/audio-features/5grmNnhOTNSbcq3R1heVT1,5grmNnhOTNSbcq3R1heVT1,133.851
Alabama%2520Shakes,Future%2520People,Alabama Shakes,351,Alabama Shakes,https://api.spotify.com/v1/audio-features/7uuoh2lEaGcbNpbKCvzawf,7uuoh2lEaGcbNpbKCvzawf,154.021
The%2520Gaslight%2520Anthem,American%2520Slang,The Gaslight Anthem,351,The Gaslight Anthem,https://api.spotify.com/v1/audio-features/4bbecACyQCPJbg0zasipAb,4bbecACyQCPJbg0zasipAb,131.948
Daft%2520Punk,Get%2520Lucky,Daft Punk,350,Daft Punk,https://api.spotify.com/v1/audio-features/2Foc5Q5nqNiosCNqttzHof,2Foc5Q5nqNiosCNqttzHof,116.047
HAIM,The%2520Wire,HAIM,350,HAIM,https://api.spotify.com/v1/audio-features/5T8OICEqdqbx8Uz7L5abkH,5T8OICEqdqbx8Uz7L5abkH,105.014
JD%2520McPherson,Let%2520The%2520Good%2520Times%2520Roll,JD McPherson,350,JD McPherson,https://api.spotify.com/v1/audio-features/7hVhRCDV100Jq26NGR7adw,7hVhRCDV100Jq26NGR7adw,107.643
Lorde,Royals,Lorde,350,Lorde,https://api.spotify.com/v1/audio-features/2dLLR6qlu5UJ5gk0dKz0h3,2dLLR6qlu5UJ5gk0dKz0h3,84.878
Tame%2520Impala,Let%2520It%2520Happen,Tame Impala,350,Tame Impala,https://api.spotify.com/v1/audio-features/2X485T9Z5Ly0xyaghN73ed,2X485T9Z5Ly0xyaghN73ed,125.012
Margaret%2520Glaspy,You%2520And%2520I,Margaret Glaspy,349,Margaret Glaspy,https://api.spotify.com/v1/audio-features/2CE0MF8zOilJcogEI8wFB6,2CE0MF8zOilJcogEI8wFB6,91.084
Deerhunter,Snakeskin,Deerhunter,348,Deerhunter,https://api.spotify.com/v1/audio-features/3R1Kk05yple93b3EqqFQle,3R1Kk05yple93b3EqqFQle,94.016
Michael%2520Kiwanuka,One%2520More%2520Night,Michael Kiwanuka,348,Michael Kiwanuka,https://api.spotify.com/v1/audio-features/0f2zcrhhHT59aIGQvRlTZ1,0f2zcrhhHT59aIGQvRlTZ1,107.806
The%2520National,Graceless,The National,348,The National,https://api.spotify.com/v1/audio-features/52m3svaHBHJIySJGaUL4IB,52m3svaHBHJIySJGaUL4IB,171.977
Wolf%2520Alice,Don%2520t%2520Delete%2520The%2520Kisses,Wolf Alice,348,Wolf Alice,https://api.spotify.com/v1/audio-features/3K94Fd5ZQkPCW8wV6oyk22,3K94Fd5ZQkPCW8wV6oyk22,122.032
Mumford%2520And%2520Sons,I%2520Will%2520Wait,Mumford And Sons,347,Mumford And Sons,https://api.spotify.com/v1/audio-features/1fXiYSWmkKJfRKMegCkI11,1fXiYSWmkKJfRKMegCkI11,131.109
Yeasayer,O%2520N%2520E%2520,Yeasayer,347,Yeasayer,https://api.spotify.com/v1/audio-features/20IFx1mqMdM6DrkQnOuiew,20IFx1mqMdM6DrkQnOuiew,120.085
Band%2520Of%2520Horses,Casual%2520Party,Band Of Horses,346,Band Of Horses,https://api.spotify.com/v1/audio-features/7sMcFdVYcwucGVtoV7r9lZ,7sMcFdVYcwucGVtoV7r9lZ,130.063
Nathaniel%2520Rateliff%2520And%2520The%2520Night%2520Sweats,Howling%2520At%2520Nothing,Nathaniel Rateliff And The Night Sweats,346,Nathaniel Rateliff And The Night Sweats,https://api.spotify.com/v1/audio-features/2YhAqgvjzU2Rw44rAqzGl6,2YhAqgvjzU2Rw44rAqzGl6,99.843
Sonny%2520Knight%2520And%2520The%2520Lakers,Hey%2520Girl,Sonny Knight And The Lakers,346,Sonny Knight And The Lakers,https://api.spotify.com/v1/audio-features/7tCZOAxyB7a41TGe2liLHu,7tCZOAxyB7a41TGe2liLHu,74.633
Grizzly%2520Bear,Yet%2520Again,Grizzly Bear,345,Grizzly Bear,https://api.spotify.com/v1/audio-features/7BAfo8WKIrAm3hJDj16Xd6,7BAfo8WKIrAm3hJDj16Xd6,161.42
Spoon,Hot%2520Thoughts,Spoon,345,Spoon,https://api.spotify.com/v1/audio-features/48yvsxGXnJBxy8nXgGbs4S,48yvsxGXnJBxy8nXgGbs4S,109.011
Adele,Rumor%2520Has%2520It,Adele,344,Adele,https://api.spotify.com/v1/audio-features/2A73XBDBQgmdXO8VsXPWIs,2A73XBDBQgmdXO8VsXPWIs,120.052
Dr.%2520Dog,That%2520Old%2520Black%2520Hole,Dr. Dog,344,Dr  Dog,https://api.spotify.com/v1/audio-features/6OekoYTXR04L76vKdzrqjw,6OekoYTXR04L76vKdzrqjw,101.468
Tame%2520Impala,%2520Cause%2520I%2520m%2520A%2520Man,Tame Impala,344,Tame Impala,https://api.spotify.com/v1/audio-features/5hM5arv9KDbCHS0k9uqwjr,5hM5arv9KDbCHS0k9uqwjr,97.96
The%2520Neighbourhood,Sweater%2520Weather,The Neighbourhood,343,The Neighbourhood,https://api.spotify.com/v1/audio-features/2QjOHCTQ1Jl3zawyYOpxh6,2QjOHCTQ1Jl3zawyYOpxh6,124.053
Michael%2520Kiwanuka,Home%2520Again,Michael Kiwanuka,342,Michael Kiwanuka,https://api.spotify.com/v1/audio-features/46EuzanXhKwIc7755wLAvS,46EuzanXhKwIc7755wLAvS,85.328
Spoon,Do%2520You,Spoon,342,Spoon,https://api.spotify.com/v1/audio-features/7qCZgvV98j6RjUULW1s1it,7qCZgvV98j6RjUULW1s1it,176.016
The%2520Lumineers,Stubborn%2520Love,The Lumineers,342,The Lumineers,https://api.spotify.com/v1/audio-features/3ekNuTF3UpOvIZCfiejpnC,3ekNuTF3UpOvIZCfiejpnC,115.01
The%2520Preatures,Is%2520This%2520How%2520You%2520Feel%2520,The Preatures,342,The Preatures,https://api.spotify.com/v1/audio-features/7x8dCjCr0x6x2lXKujYD34,7x8dCjCr0x6x2lXKujYD34,172.984
tUne-yArDs,Water%2520Fountain,tUne-yArDs,342,tUne yArDs,https://api.spotify.com/v1/audio-features/7a5WVvAqdpvoZ0DZmw9LgW,7a5WVvAqdpvoZ0DZmw9LgW,110.48
Florence%2520And%2520The%2520Machine,What%2520Kind%2520Of%2520Man,Florence And The Machine,341,Florence And The Machine,https://api.spotify.com/v1/audio-features/1w9ta1CvXlJPRXh6Py2Mto,1w9ta1CvXlJPRXh6Py2Mto,114.776
Iron%2520And%2520Wine,Walking%2520Far%2520From%2520Home,Iron And Wine,341,Iron And Wine,https://api.spotify.com/v1/audio-features/0ncZMrH4tUif4XbTgOddlp,0ncZMrH4tUif4XbTgOddlp,77.471
Lissie,Shameless,Lissie,341,Lissie,https://api.spotify.com/v1/audio-features/2MJlhN2OockKCadeGS4AEP,2MJlhN2OockKCadeGS4AEP,130.015
Moby,Pale%2520Horses,Moby,341,Moby,https://api.spotify.com/v1/audio-features/5fJAYWoFgXm26HLNViFiUh,5fJAYWoFgXm26HLNViFiUh,94.733
Ray%2520LaMontagne%2520And%2520The%2520Pariah%2520Dogs,Beg%2520Steal%2520Or%2520Borrow,Ray LaMontagne And The Pariah Dogs,341,Ray LaMontagne And The Pariah Dogs,https://api.spotify.com/v1/audio-features/7fMYBrlKl9mkcMTUGT4j6l,7fMYBrlKl9mkcMTUGT4j6l,148.097
Tame%2520Impala,Eventually,Tame Impala,341,Tame Impala,https://api.spotify.com/v1/audio-features/5M4yti0QxgqJieUYaEXcpw,5M4yti0QxgqJieUYaEXcpw,77.935
Beck,Wow,Beck,340,Beck,https://api.spotify.com/v1/audio-features/22srfeuYCun4LMSrLxvLZw,22srfeuYCun4LMSrLxvLZw,97.984
Father%2520John%2520Misty,Chateau%2520Lobby%2520%25204%2520%2520In%2520C%2520For%2520Two%2520Virgins%2520,Father John Misty,340,Father John Misty,https://api.spotify.com/v1/audio-features/7LBRziEsYx5Le77YpCUItu,7LBRziEsYx5Le77YpCUItu,140.005
Lorde,Green%2520Light,Lorde,340,Lorde,https://api.spotify.com/v1/audio-features/3G6hD9B2ZHOsgf4WfNu7X1,3G6hD9B2ZHOsgf4WfNu7X1,99.961
Broken%2520Bells,The%2520Ghost%2520Inside,Broken Bells,339,Broken Bells,https://api.spotify.com/v1/audio-features/32fmQsWSAaDas2MJRyMSGG,32fmQsWSAaDas2MJRyMSGG,103.983
Eels,Fresh%2520Blood,Eels,339,Eels,https://api.spotify.com/v1/audio-features/2fKdsBazcOLLIzDiZUQCih,2fKdsBazcOLLIzDiZUQCih,169.213
Haley%2520Bonar,Last%2520War,Haley Bonar,339,Haley Bonar,https://api.spotify.com/v1/audio-features/2Ob8RRHBoW9H09yvjmUYtW,2Ob8RRHBoW9H09yvjmUYtW,89.022
IAMDYNAMITE,Stereo,IAMDYNAMITE,339,IAMDYNAMITE,https://api.spotify.com/v1/audio-features/7rZbX55VbQpRHDOjZt36aZ,7rZbX55VbQpRHDOjZt36aZ,85.181
Spoon,Do%2520I%2520Have%2520To%2520Talk%2520You%2520Into%2520It,Spoon,339,Spoon,https://api.spotify.com/v1/audio-features/7qCZgvV98j6RjUULW1s1it,7qCZgvV98j6RjUULW1s1it,176.016
The%2520Avett%2520Brothers,I%2520And%2520Love%2520And%2520You,The Avett Brothers,339,The Avett Brothers,https://api.spotify.com/v1/audio-features/7CEV9VwA8XO9wwxTXgYKvY,7CEV9VwA8XO9wwxTXgYKvY,139.593
Arctic%2520Monkeys,Don%2520t%2520Sit%2520Down%2520%2520Cause%2520I%2520ve%2520Moved%2520Your%2520Chair,Arctic Monkeys,338,Arctic Monkeys,https://api.spotify.com/v1/audio-features/4mwiRPRAUSSFD6lJ86m98B,4mwiRPRAUSSFD6lJ86m98B,84.695
Arctic%2520Monkeys,R%2520U%2520Mine%2520,Arctic Monkeys,338,Arctic Monkeys,https://api.spotify.com/v1/audio-features/7nzsY8vlnKdvGOEE0rjAXZ,7nzsY8vlnKdvGOEE0rjAXZ,179.949
Gary%2520Clark%2520Jr.,Ain%2520t%2520Messin%2520%2520Round,Gary Clark Jr.,338,Gary Clark Jr,https://api.spotify.com/v1/audio-features/61VeLzYgLf75bluXdXWbaV,61VeLzYgLf75bluXdXWbaV,140.468
The%2520XX,Chained,The XX,338,The XX,https://api.spotify.com/v1/audio-features/5VfEuwErhx6X4eaPbyBfyu,5VfEuwErhx6X4eaPbyBfyu,100.363
Cage%2520The%2520Elephant,Ain%2520t%2520No%2520Rest%2520For%2520The%2520Wicked,Cage The Elephant,337,Cage The Elephant,https://api.spotify.com/v1/audio-features/3Pzh926pXggbMe2ZpXyMV7,3Pzh926pXggbMe2ZpXyMV7,156.036
Leon%2520Bridges,Smooth%2520Sailin%2520,Leon Bridges,337,Leon Bridges,https://api.spotify.com/v1/audio-features/3jpeI1goQHPIwwCMxrLrwx,3jpeI1goQHPIwwCMxrLrwx,67.055
Lucius,Something%2520About%2520You,Lucius,337,Lucius,https://api.spotify.com/v1/audio-features/6RiiSy9GzSwiyDEJDiMuKe,6RiiSy9GzSwiyDEJDiMuKe,133.417
Regina%2520Spektor,All%2520The%2520Rowboats,Regina Spektor,337,Regina Spektor,https://api.spotify.com/v1/audio-features/5rSlEtSKiOYivDFChX3FRW,5rSlEtSKiOYivDFChX3FRW,166
Houndmouth,Say%2520It,Houndmouth,336,Houndmouth,https://api.spotify.com/v1/audio-features/2MQhTbX792AT6YyzwLz9dt,2MQhTbX792AT6YyzwLz9dt,135.188
Lizzo%2520And%2520Caroline%2520Smith,Let%2520%2520Em%2520Say,Lizzo And Caroline Smith,336,Lizzo And Caroline Smith,https://api.spotify.com/v1/audio-features/6nBQFAIVFmAx2oZ8p6lUg6,6nBQFAIVFmAx2oZ8p6lUg6,107.019
Portugal%2520The%2520Man,Feel%2520It%2520Still,Portugal The Man,336,Portugal The Man,https://api.spotify.com/v1/audio-features/6QgjcU0zLnzq5OrUoSZ3OK,6QgjcU0zLnzq5OrUoSZ3OK,79.028
Electric%2520Guest,This%2520Head%2520I%2520Hold,Electric Guest,335,Electric Guest,https://api.spotify.com/v1/audio-features/2dA8HyqpMOXYQBMbeHUQnl,2dA8HyqpMOXYQBMbeHUQnl,162.017
Nikki%2520Lane,Right%2520Time,Nikki Lane,335,Nikki Lane,https://api.spotify.com/v1/audio-features/2IUwZ8LaYyx102qKk3KQdI,2IUwZ8LaYyx102qKk3KQdI,125.685
The%2520New%2520Pornographers,Dancehall%2520Domine,The New Pornographers,335,The New Pornographers,https://api.spotify.com/v1/audio-features/6LGTXFy9KNQeBjUHT9fPFh,6LGTXFy9KNQeBjUHT9fPFh,NA
The%2520Strypes,Blue%2520Collar%2520Jane,The Strypes,335,The Strypes,https://api.spotify.com/v1/audio-features/60F6ntlU0uSzgChmyQyVJP,60F6ntlU0uSzgChmyQyVJP,NA
Arcade%2520Fire,Ready%2520To%2520Start,Arcade Fire,334,Arcade Fire,https://api.spotify.com/v1/audio-features/1Xi84slp6FryDSCbzq4UCD,1Xi84slp6FryDSCbzq4UCD,NA
Frank%2520Turner,The%2520Next%2520Storm,Frank Turner,334,Frank Turner,https://api.spotify.com/v1/audio-features/5pajrflzRSu55mgXcEKLUG,5pajrflzRSu55mgXcEKLUG,NA
Jack%2520White,I%2520m%2520Shakin%2520,Jack White,334,Jack White,https://api.spotify.com/v1/audio-features/07AjyDeE85pDr4Dj8BzgWB,07AjyDeE85pDr4Dj8BzgWB,NA
The%2520Lumineers,Ophelia,The Lumineers,334,The Lumineers,https://api.spotify.com/v1/audio-features/3d8y0t70g7hw2FOWl9Z4Fm,3d8y0t70g7hw2FOWl9Z4Fm,NA
