artist,title,Artist,n,URI,spotifyID,tempo,info-danceability,info-energy,info-key,info-loudness,info-mode,info-speechiness,info-acousticness,info-instrumentalness,info-liveness,info-valence,info-tempo,info-type,info-id,info-uri,info-track_href,info-analysis_url,info-duration_ms,info-time_signature,info-1
Queens+Of+The+Stone+Age,The+Way+You+Used+To+Do,Queens Of The Stone Age,27,https://api.spotify.com/v1/audio-features/52LL3IFB8N3PaJmoZ8Xii1,52LL3IFB8N3PaJmoZ8Xii1,97.907,0.482,0.843,0,-5.909,1,0.288,0.0103,0.103,0.362,0.433,97.907,audio_features,52LL3IFB8N3PaJmoZ8Xii1,spotify:track:52LL3IFB8N3PaJmoZ8Xii1,https://api.spotify.com/v1/tracks/52LL3IFB8N3PaJmoZ8Xii1,https://api.spotify.com/v1/audio-analysis/52LL3IFB8N3PaJmoZ8Xii1,274282,4,NA
Sharon+Jones+And+The+Dap+Kings,I+m+Still+Here,Sharon Jones And The Dap-Kings,27,https://api.spotify.com/v1/audio-features/2ffGZTdlRN0lNxA4LOYyTs,2ffGZTdlRN0lNxA4LOYyTs,103.941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sylvan+Esso,Kick+Jump+Twist,Sylvan Esso,27,https://api.spotify.com/v1/audio-features/5pXVT8Ev8ICTv1bQzMTCKr,5pXVT8Ev8ICTv1bQzMTCKr,139.886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The+Bad+Man,Bonita,The Bad Man,27,https://api.spotify.com/v1/audio-features/62l3NSQPUxvcwwzKUmysrE,62l3NSQPUxvcwwzKUmysrE,120.034,0.882,0.662,0,-6.382,1,0.242,0.0124,0,0.106,0.57,120.034,audio_features,62l3NSQPUxvcwwzKUmysrE,spotify:track:62l3NSQPUxvcwwzKUmysrE,https://api.spotify.com/v1/tracks/62l3NSQPUxvcwwzKUmysrE,https://api.spotify.com/v1/audio-analysis/62l3NSQPUxvcwwzKUmysrE,106000,4,NA
The+Claypool+Lennon+Delirium,Blood+And+Rockets,The Claypool Lennon Delirium,27,https://api.spotify.com/v1/audio-features/7oqI47cPSkXG8eUtvniQSa,7oqI47cPSkXG8eUtvniQSa,81.985,0.529,0.626,0,-4.487,0,0.0262,0.0342,0.504,0.0965,0.329,81.985,audio_features,7oqI47cPSkXG8eUtvniQSa,spotify:track:7oqI47cPSkXG8eUtvniQSa,https://api.spotify.com/v1/tracks/7oqI47cPSkXG8eUtvniQSa,https://api.spotify.com/v1/audio-analysis/7oqI47cPSkXG8eUtvniQSa,389827,4,NA
The+Growlers,Problems+III,The Growlers,27,https://api.spotify.com/v1/audio-features/7wmYgsLNRB9EpqpvR3hkvN,7wmYgsLNRB9EpqpvR3hkvN,90.028,0.332,0.731,0,-4.565,1,0.0446,0.0489,0.00347,0.178,0.636,90.028,audio_features,7wmYgsLNRB9EpqpvR3hkvN,spotify:track:7wmYgsLNRB9EpqpvR3hkvN,https://api.spotify.com/v1/tracks/7wmYgsLNRB9EpqpvR3hkvN,https://api.spotify.com/v1/audio-analysis/7wmYgsLNRB9EpqpvR3hkvN,214106,4,NA
The+Smashing+Pumpkins,Silvery+Sometimes++Ghosts+,The Smashing Pumpkins,27,https://api.spotify.com/v1/audio-features/0oCEQA7gByJXUvXztuF0ys,0oCEQA7gByJXUvXztuF0ys,130.968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wolf+Parade,Against+The+Day,Wolf Parade,27,https://api.spotify.com/v1/audio-features/0ozMc7n0ItuLpGrUEFDXER,0ozMc7n0ItuLpGrUEFDXER,125.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yuno,No+Going+Back,Yuno,27,https://api.spotify.com/v1/audio-features/356aM3w6i5v1cltIzOnVTP,356aM3w6i5v1cltIzOnVTP,93.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama+Shakes,Don+t+Wanna+Fight,Alabama Shakes,26,https://api.spotify.com/v1/audio-features/6q0lIjDSuZDhrg9GC9yUQO,6q0lIjDSuZDhrg9GC9yUQO,100.433,0.606,0.915,10,-3.292,0,0.166,0.259,0.107,0.105,0.551,100.433,audio_features,6q0lIjDSuZDhrg9GC9yUQO,spotify:track:6q0lIjDSuZDhrg9GC9yUQO,https://api.spotify.com/v1/tracks/6q0lIjDSuZDhrg9GC9yUQO,https://api.spotify.com/v1/audio-analysis/6q0lIjDSuZDhrg9GC9yUQO,232547,4,NA
